,0,1,2
0,-149.99989318847656,-15.00009536743164,-5.9994707107543945
1,-149.96827697753906,-23.887718200683594,-5.885228633880615
2,-163.59580993652344,-23.757118225097656,-5.393871784210205
3,-141.31219482421875,-23.501087188720703,-5.965119361877441
4,-141.31219482421875,-23.501087188720703,-5.989894390106201
5,-152.84046936035156,-23.526426315307617,-6.859001636505127
6,-153.04331970214844,-32.63429641723633,-6.924900054931641
7,-164.06544494628906,-32.55643081665039,-5.921158313751221
8,-142.19699096679688,-32.4341926574707,-5.997425556182861
9,-142.19699096679688,-32.4341926574707,-6.027811050415039
10,-153.37057495117188,-32.522911071777344,-6.675595760345459
11,-153.16575622558594,-41.62336730957031,-6.74563455581665
12,-164.37318420410156,-41.57027053833008,-5.86382532119751
13,-145.60791015625,-41.44981384277344,-5.874829292297363
14,-145.60791015625,-41.44981384277344,-5.90118932723999
15,-153.30064392089844,-41.58440399169922,-6.396439552307129
16,-152.74693298339844,-50.57587432861328,-6.679263114929199
17,-163.28305053710938,-50.4647216796875,-5.837996006011963
18,-142.18893432617188,-50.19765853881836,-5.889714241027832
19,-142.18893432617188,-50.19765853881836,-5.906554222106934
20,-151.93739318847656,-50.19990921020508,-6.888326644897461
21,-150.36302185058594,-54.25762176513672,-6.485688209533691
